split,model,metric,bootstrap_low_95,bootstrap_median,bootstrap_high_95
Chronological,Regularized logistic,average_precision,0.10797812644040815,0.22123051316770326,0.4239583583191743
Chronological,Regularized logistic,precision_at_budget,0.03125,0.15625,0.28125
Chronological,Regularized logistic,recall_at_budget,0.058823529411764705,0.29411764705882354,0.5294117647058824
Chronological,Constrained random forest,average_precision,0.051183385738628226,0.08393070836920205,0.15715086230223202
Chronological,Constrained random forest,precision_at_budget,0.0,0.0625,0.15625
Chronological,Constrained random forest,recall_at_budget,0.0,0.11764705882352941,0.29411764705882354
Stratified random,Regularized logistic,average_precision,0.07563932261467425,0.13664757936097272,0.2739567574201274
Stratified random,Regularized logistic,precision_at_budget,0.03125,0.125,0.25
Stratified random,Regularized logistic,recall_at_budget,0.047619047619047616,0.19047619047619047,0.38095238095238093
Stratified random,Constrained random forest,average_precision,0.12839807379993987,0.2073951235339221,0.3582315815299293
Stratified random,Constrained random forest,precision_at_budget,0.09375,0.21875,0.34375
Stratified random,Constrained random forest,recall_at_budget,0.14285714285714285,0.3333333333333333,0.5238095238095238
