transformed_feature,top_15_selections,selection_frequency
feature_059,20,1.0
feature_056,16,0.8
feature_367,11,0.55
feature_132,10,0.5
feature_485,10,0.5
feature_021,7,0.35
feature_460,7,0.35
feature_038,6,0.3
feature_040,6,0.3
feature_102,6,0.3
feature_129,6,0.3
feature_000,5,0.25
feature_071,5,0.25
feature_075,5,0.25
feature_099,5,0.25
feature_131,5,0.25
feature_344,5,0.25
feature_027,4,0.2
feature_133,4,0.2
feature_423,4,0.2
feature_562,4,0.2
feature_563,4,0.2
feature_006,3,0.15
feature_011,3,0.15
feature_055,3,0.15
feature_058,3,0.15
feature_060,3,0.15
feature_077,3,0.15
feature_216,3,0.15
feature_280,3,0.15
feature_365,3,0.15
feature_388,3,0.15
feature_390,3,0.15
feature_511,3,0.15
feature_582,3,0.15
feature_009,2,0.1
feature_016,2,0.1
feature_019,2,0.1
feature_025,2,0.1
feature_032,2,0.1
feature_033,2,0.1
feature_047,2,0.1
feature_061,2,0.1
feature_064,2,0.1
feature_081,2,0.1
feature_103,2,0.1
feature_113,2,0.1
feature_115,2,0.1
feature_118,2,0.1
feature_130,2,0.1
feature_155,2,0.1
feature_205,2,0.1
feature_249,2,0.1
feature_333,2,0.1
feature_338,2,0.1
feature_348,2,0.1
feature_387,2,0.1
feature_488,2,0.1
feature_510,2,0.1
feature_546,2,0.1
feature_558,2,0.1
feature_560,2,0.1
feature_004,1,0.05
feature_007,1,0.05
feature_014,1,0.05
feature_018,1,0.05
feature_020,1,0.05
feature_022,1,0.05
feature_023,1,0.05
feature_029,1,0.05
feature_043,1,0.05
feature_067,1,0.05
feature_082,1,0.05
feature_083,1,0.05
feature_088,1,0.05
feature_101,1,0.05
feature_107,1,0.05
feature_117,1,0.05
feature_138,1,0.05
feature_140,1,0.05
feature_142,1,0.05
feature_145,1,0.05
feature_168,1,0.05
feature_200,1,0.05
feature_201,1,0.05
feature_204,1,0.05
feature_227,1,0.05
feature_271,1,0.05
feature_274,1,0.05
feature_301,1,0.05
feature_303,1,0.05
feature_316,1,0.05
feature_340,1,0.05
feature_341,1,0.05
feature_352,1,0.05
feature_363,1,0.05
feature_376,1,0.05
feature_412,1,0.05
feature_415,1,0.05
feature_425,1,0.05
feature_439,1,0.05
feature_468,1,0.05
feature_471,1,0.05
feature_472,1,0.05
feature_473,1,0.05
feature_482,1,0.05
feature_483,1,0.05
feature_486,1,0.05
feature_489,1,0.05
feature_496,1,0.05
feature_500,1,0.05
feature_548,1,0.05
feature_586,1,0.05
feature_588,1,0.05
