metric,value
rows,1567.0
raw_numeric_features,590.0
official_catalog_feature_count,591.0
passes,1463.0
failures,104.0
failure_rate,0.06636885768985322
total_cells,924530.0
missing_cells,41951.0
overall_missing_rate,0.04537548808583821
features_with_any_missing,538.0
features_over_20pct_missing,32.0
features_over_50pct_missing,28.0
constant_or_empty_features,116.0
exact_duplicate_measurement_rows,0.0
median_row_missing_rate,0.04067796610169491
maximum_row_missing_rate,0.2576271186440678
repeated_timestamps_after_first,33.0
