transformed_feature,coefficient,absolute_coefficient,direction
feature_059,0.9269223718991793,0.9269223718991793,raises score
feature_056,0.7348537842043076,0.7348537842043076,raises score
feature_132,-0.4899925051297608,0.4899925051297608,lowers score
feature_367,-0.39800666137748547,0.39800666137748547,lowers score
feature_205,0.3807232915423182,0.3807232915423182,raises score
feature_129,0.3664838927940462,0.3664838927940462,raises score
feature_060,0.3575913318263952,0.3575913318263952,raises score
feature_067,-0.3519869818998215,0.3519869818998215,lowers score
feature_071,0.34846903316800704,0.34846903316800704,raises score
feature_485,-0.33873867019430093,0.33873867019430093,lowers score
feature_488,-0.3385825072246629,0.3385825072246629,lowers score
feature_423,0.3377819766600601,0.3377819766600601,raises score
feature_216,0.3373371734833731,0.3373371734833731,raises score
feature_341,0.330882179282604,0.330882179282604,raises score
feature_099,0.32998322434682403,0.32998322434682403,raises score
feature_365,0.3291598841485789,0.3291598841485789,raises score
feature_155,-0.31382665744904426,0.31382665744904426,lowers score
feature_000,-0.30268001543413964,0.30268001543413964,lowers score
feature_204,-0.3003620313078447,0.3003620313078447,lowers score
feature_133,0.29618073970402264,0.29618073970402264,raises score
feature_340,-0.2942761362590615,0.2942761362590615,lowers score
feature_333,0.29303737004459923,0.29303737004459923,raises score
feature_425,0.2926121399075958,0.2926121399075958,raises score
feature_460,0.2850389309847723,0.2850389309847723,raises score
feature_040,-0.2838353548949404,0.2838353548949404,lowers score
feature_338,-0.282723672762771,0.282723672762771,lowers score
feature_021,0.28174393734155084,0.28174393734155084,raises score
feature_053,-0.27837532503127066,0.27837532503127066,lowers score
feature_428,-0.2780832998866526,0.2780832998866526,lowers score
feature_061,0.27584401906109446,0.27584401906109446,raises score
feature_344,-0.27494010037202565,0.27494010037202565,lowers score
feature_064,0.2747370639417281,0.2747370639417281,raises score
feature_145,-0.27388337127523393,0.27388337127523393,lowers score
feature_249,0.2709423572180874,0.2709423572180874,raises score
feature_439,-0.27039229863921116,0.27039229863921116,lowers score
feature_025,0.2677140987895843,0.2677140987895843,raises score
feature_062,-0.2667636383848108,0.2667636383848108,lowers score
feature_280,-0.2659498620341877,0.2659498620341877,lowers score
feature_415,-0.26500182945760603,0.26500182945760603,lowers score
feature_124,-0.26241805026383425,0.26241805026383425,lowers score
feature_560,-0.26216846142480116,0.26216846142480116,lowers score
feature_388,0.2608638646003336,0.2608638646003336,raises score
feature_387,0.2599911357974541,0.2599911357974541,raises score
feature_214,-0.2506592216674452,0.2506592216674452,lowers score
feature_050,0.2479074185694325,0.2479074185694325,raises score
feature_271,0.24533234931460834,0.24533234931460834,raises score
feature_486,0.24380645396818598,0.24380645396818598,raises score
feature_582,0.2414553380921624,0.2414553380921624,raises score
feature_354,-0.2400789695772223,0.2400789695772223,lowers score
feature_473,0.23904578446917074,0.23904578446917074,raises score
feature_019,0.23879648130984465,0.23879648130984465,raises score
feature_115,-0.23817872346306018,0.23817872346306018,lowers score
feature_332,-0.23816467165524333,0.23816467165524333,lowers score
feature_102,-0.23513346896158016,0.23513346896158016,lowers score
feature_041,-0.2340666238085815,0.2340666238085815,lowers score
feature_038,-0.2340150818468983,0.2340150818468983,lowers score
feature_197,0.2337391439195877,0.2337391439195877,raises score
feature_027,0.23249451618973552,0.23249451618973552,raises score
feature_131,0.22847363009049468,0.22847363009049468,raises score
feature_014,-0.22565140548177473,0.22565140548177473,lowers score
feature_335,-0.22388878141426186,0.22388878141426186,lowers score
feature_477,0.22331603192011698,0.22331603192011698,raises score
feature_251,-0.22281298900476953,0.22281298900476953,lowers score
feature_009,-0.21891132154234882,0.21891132154234882,lowers score
