record_id,source_row,timestamp,observed_outcome,model_score_uncalibrated,review_at_10pct_budget,top_positive_associations,score_rank
record_1397,1397,2008-10-07 11:16:00,pass,0.9991140270524389,True,feature_205 (+3.25); feature_201 (+2.91); feature_341 (+2.50),1
record_1400,1400,2008-10-07 13:10:00,fail,0.9873427968160149,True,feature_348 (+2.88); feature_075 (+1.80); feature_132 (+1.24),2
record_1467,1467,2008-10-12 01:50:00,pass,0.9825745726811058,True,feature_071 (+0.78); feature_060 (+0.69); feature_143 (+0.57),3
record_1519,1519,2008-10-15 02:42:00,fail,0.967168587015804,True,feature_099 (+4.84); feature_460 (+0.94); feature_388 (+0.73),4
record_1257,1257,2008-10-02 22:33:00,pass,0.9253768099581803,True,feature_071 (+1.36); feature_132 (+1.12); feature_270 (+0.91),5
record_1536,1536,2008-10-15 17:19:00,pass,0.919524065252882,True,feature_388 (+5.94); feature_522 (+1.05); feature_060 (+0.67),6
record_1346,1346,2008-10-06 05:24:00,pass,0.8864934856124989,True,feature_588 (+1.65); feature_071 (+1.29); feature_060 (+0.66),7
record_1343,1343,2008-10-06 03:57:00,fail,0.8614401187774707,True,feature_132 (+1.24); feature_071 (+0.95); feature_274 (+0.77),8
record_1460,1460,2008-10-11 08:27:00,pass,0.834608731438889,True,feature_071 (+0.66); feature_143 (+0.57); feature_416 (+0.53),9
record_1385,1385,2008-10-07 03:39:00,pass,0.7834032972226288,True,feature_331 (+2.11); feature_467 (+1.17); feature_195 (+1.09),10
record_1363,1363,2008-10-06 13:38:00,fail,0.7410249592178839,True,feature_132 (+1.24); feature_060 (+0.82); feature_344 (+0.62),11
record_1344,1344,2008-10-06 04:26:00,pass,0.7309077627087138,True,feature_071 (+0.65); feature_129 (+0.65); feature_060 (+0.59),12
record_1427,1427,2008-10-08 17:14:00,pass,0.7003082749518966,True,feature_205 (+2.23); feature_341 (+1.74); feature_201 (+1.45),13
record_1530,1530,2008-10-15 12:53:00,pass,0.6765724595691749,True,feature_071 (+0.67); feature_132 (+0.66); feature_096 (+0.53),14
record_1275,1275,2008-10-03 19:23:00,pass,0.6450008182724905,True,feature_129 (+0.88); feature_060 (+0.79); feature_491 (+0.70),15
record_1565,1565,2008-10-17 06:01:00,pass,0.6363850888258454,True,feature_060 (+0.86); feature_099 (+0.79); feature_115 (+0.70),16
record_1533,1533,2008-10-15 14:08:00,pass,0.608650476910217,True,feature_071 (+1.06); feature_132 (+0.66); feature_099 (+0.64),17
record_1263,1263,2008-10-03 03:52:00,pass,0.6075885127329912,True,feature_060 (+0.70); feature_033 (+0.65); feature_129 (+0.58),18
record_1282,1282,2008-10-03 22:08:00,pass,0.6064203548963139,True,feature_132 (+1.24); feature_488 (+0.50); feature_133 (+0.42),19
record_1470,1470,2008-10-12 03:28:00,pass,0.5552418215801999,True,feature_060 (+0.61); feature_132 (+0.59); feature_488 (+0.50),20
record_1403,1403,2008-10-07 16:32:00,pass,0.5371729806089447,True,feature_491 (+1.01); feature_040 (+0.67); feature_132 (+0.54),21
record_1513,1513,2008-10-15 00:47:00,pass,0.5288245359789567,True,feature_060 (+0.77); feature_274 (+0.61); feature_043 (+0.52),22
record_1411,1411,2008-10-08 04:47:00,pass,0.5254576117183168,True,feature_071 (+1.27); feature_060 (+0.79); feature_040 (+0.75),23
record_1260,1260,2008-10-03 00:24:00,pass,0.5221183046759418,True,feature_132 (+1.31); feature_040 (+0.68); feature_133 (+0.54),24
record_1555,1555,2008-10-16 04:50:00,pass,0.5186472934879541,True,feature_249 (+0.78); feature_387 (+0.75); feature_168 (+0.60),25
record_1507,1507,2008-10-14 20:30:00,pass,0.4923896693564427,True,feature_473 (+0.61); feature_056 (+0.54); feature_488 (+0.50),26
record_1267,1267,2008-10-03 05:45:00,pass,0.4253397365740175,True,feature_132 (+1.12); feature_274 (+0.78); feature_040 (+0.69),27
record_1556,1556,2008-10-16 04:54:00,pass,0.42376483977531,True,feature_274 (+0.99); feature_388 (+0.49); feature_006 (+0.45),28
record_1264,1264,2008-10-03 03:56:00,pass,0.41791283283451525,True,feature_331 (+2.11); feature_467 (+1.17); feature_195 (+1.09),29
record_1450,1450,2008-10-10 15:50:00,pass,0.3963392844457831,True,feature_582 (+0.64); feature_132 (+0.59); feature_344 (+0.53),30
record_1521,1521,2008-10-15 04:08:00,pass,0.3911090684154105,True,feature_274 (+0.61); feature_060 (+0.57); feature_216 (+0.52),31
record_1364,1364,2008-10-06 13:55:00,fail,0.38696201775997313,True,feature_274 (+0.78); feature_129 (+0.58); feature_132 (+0.54),32
